address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
Deptford High St,poi,36423,51.476358067094,-0.025920867919922,London,Deptford High Street,4ad04c6ff964a520d1d720e3,0,Road,http://tour-pedia.org/api/getPlaceDetails?id=36423,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36423
Heathfield Road,poi,36429,51.45043040209,-0.1770176830843,London,HM Prison Wandsworth,4ad0624ef964a520efd720e3,0,Government Building,http://tour-pedia.org/api/getPlaceDetails?id=36429,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36429
Station Rd.,poi,36440,51.433892209165,0.10334014892578,London,Sidcup Railway Station (SID),4ad070b6f964a52012d820e3,0,Train Station,http://tour-pedia.org/api/getPlaceDetails?id=36440,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36440
Kingsway,poi,36455,51.517442509835,-0.12017905712128,London,Holborn London Underground Station,4ad090f1f964a52074d820e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36455,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36455
"Great Central House, Melcombe Place",poi,36462,51.522476162641,-0.16316413879395,London,London Marylebone Railway Station (MYB),4ad09694f964a52099d820e3,0,Train Station,http://tour-pedia.org/api/getPlaceDetails?id=36462,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36462
76/78 Upper Ground,poi,36475,51.507433635063,-0.11295318603516,London,IBM,4ad0a29bf964a520ded820e3,0,Office,http://tour-pedia.org/api/getPlaceDetails?id=36475,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36475
Station Approach,poi,36481,51.437637638505,0.070295333862305,London,New Eltham Railway Station (NEH),4ad0afc1f964a5201ed920e3,0,Train Station,http://tour-pedia.org/api/getPlaceDetails?id=36481,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36481
Pelham St.,poi,36489,51.494112879956,-0.1737105846405,London,South Kensington London Underground Station,4ad0b8e9f964a5205fd920e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36489,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36489
Fortess Rd.,poi,36492,51.556748949515,-0.13811230659485,London,Tufnell Park London Underground Station,4ad0c36ef964a520a4d920e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36492,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36492
Moving Target!,poi,36493,51.508528775863,-0.038280487060547,London,Thames Clipper,4ad0c4a0f964a520aed920e3,0,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=36493,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36493
Princes St.,poi,36497,51.513282984369,-0.088577270507812,London,Bank London Underground and DLR Station,4ad0cba7f964a520ded920e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36497,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36497
Ravenscourt Rd,poi,36515,51.494122899535,-0.23587346076965,London,Ravenscourt Park London Underground Station,4ad10beff964a52037dc20e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36515,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36515
Turnham Green Terrace,poi,36516,51.495111487185,-0.25460600852966,London,Turnham Green London Underground Station,4ad10c3bf964a52039dc20e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36516,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36516
Bollo Ln,poi,36518,51.494523680896,-0.26783466339111,London,Chiswick Park London Underground Station,4ad10c8df964a52040dc20e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36518,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36518
Uxbridge Rd.,poi,36519,51.510193139143,-0.28824359178543,London,Ealing Common London Underground Station,4ad10d0af964a52047dc20e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36519,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36519
Old Brompton Rd.,poi,36529,51.487165441619,-0.19542306661606,London,West Brompton London Underground and London Overground Station,4ad1fffcf964a520c7de20e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36529,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36529
Richmond Road,poi,36551,51.422147866526,-0.30263789380465,London,Richmond Road,4ad24585f964a52093e020e3,0,Road,http://tour-pedia.org/api/getPlaceDetails?id=36551,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36551
